year,ceremony,winner_title,imdb_id,original_title,release_year,runtime_minutes,genres,director,imdb_rating,imdb_votes,overview,poster_url,metacritic_score,rotten_tomatoes_score,critic_summary
1980,53,Ordinary People,tt0081283,Ordinary People,1980,124,Drama,Robert Redford,7.7,62454,,,,,
1981,54,Chariots of Fire,tt0082158,Chariots of Fire,1981,125,"Biography, Drama, Sport",Hugh Hudson,7.1,71481,,,,,
1982,55,Gandhi,tt0083987,Gandhi,1982,191,"Biography, Drama, History",Richard Attenborough,8.0,246787,,,,,
1983,56,Terms of Endearment,tt0086425,Terms of Endearment,1983,132,"Comedy, Drama",James L. Brooks,7.4,71186,,,,,
1984,57,Amadeus,tt0086879,Amadeus,1984,160,"Biography, Drama, Music",Miloš Forman,8.4,471978,,,,,
1985,58,Out of Africa,tt0089755,Out of Africa,1985,161,"Biography, Drama, Romance",Sydney Pollack,7.2,93870,,,,,
1986,59,Platoon,tt0091763,Platoon,1986,120,"Drama, War",Oliver Stone,8.0,475734,,,,,
1987,60,The Last Emperor,tt0093389,The Last Emperor,1987,163,"Biography, Drama, History",Bernardo Bertolucci,7.7,120583,,,,,
1988,61,Rain Man,tt0095953,Rain Man,1988,133,Drama,Barry Levinson,8.0,588255,,,,,
1989,62,Driving Miss Daisy,tt0097239,Driving Miss Daisy,1989,99,"Comedy, Drama",Bruce Beresford,7.3,124297,,,,,
1990,63,Dances With Wolves,tt0099348,Dances with Wolves,1990,181,"Adventure, Drama, Western",Kevin Costner,8.0,312380,,,,,
1991,64,The Silence of the Lambs,tt0102926,The Silence of the Lambs,1991,118,"Crime, Drama, Horror",Jonathan Demme,8.6,1742127,,,,,
1992,65,Unforgiven,tt0105695,Unforgiven,1992,130,"Drama, Western",Clint Eastwood,8.2,471493,,,,,
1993,66,Schindler's List,tt0108052,Schindler's List,1993,196,"Biography, Drama, History",Steven Spielberg,9.0,1598172,,,,,
1994,67,Forrest Gump,tt0109830,Forrest Gump,1994,142,"Drama, Romance",Robert Zemeckis,8.8,2524942,,,,,
1995,68,Braveheart,tt0112573,Braveheart,1995,178,"Drama, War",Mel Gibson,8.3,1169533,,,,,
1996,69,The English Patient,tt0116209,The English Patient,1996,162,"Drama, Romance, War",Anthony Minghella,7.4,214851,,,,,
1997,70,Titanic,tt0120338,Titanic,1997,194,"Drama, Romance",James Cameron,8.0,1407727,,,,,
1998,71,Shakespeare in Love,tt0138097,Shakespeare in Love,1998,123,"Comedy, Drama, History",John Madden,7.1,243983,,,,,
1999,72,American Beauty,tt0169547,American Beauty,1999,122,Drama,Sam Mendes,8.3,1285816,,,,,
2000,73,Gladiator,tt0172495,Gladiator,2000,155,"Action, Adventure, Drama",Ridley Scott,8.5,1873884,,,,,
2001,74,A Beautiful Mind,tt0268978,A Beautiful Mind,2001,135,"Biography, Drama, Mystery",Ron Howard,8.2,1061155,,,,,
2002,75,Chicago,tt0299658,Chicago,2002,113,"Comedy, Crime, Musical",Rob Marshall,7.2,258106,,,,,
2003,76,The Lord of the Rings: The Return of the King,tt0167260,The Lord of the Rings: The Return of the King,2003,201,"Adventure, Drama, Fantasy",Peter Jackson,9.0,2185607,,,,,
2004,77,Million Dollar Baby,tt0405159,Million Dollar Baby,2004,132,"Drama, Sport",Clint Eastwood,8.1,771553,,,,,
2005,78,Crash,tt0375679,Crash,2004,112,"Crime, Drama, Thriller",Paul Haggis,7.7,463699,,,,,
2006,79,The Departed,tt0407887,The Departed,2006,151,"Crime, Drama, Thriller",Martin Scorsese,8.5,1572014,,,,,
2007,80,No Country for Old Men,tt0477348,No Country for Old Men,2007,122,"Crime, Drama, Thriller","Ethan Coen, Joel Coen",8.2,1207677,,,,,
2008,81,Slumdog Millionaire,tt1010048,Slumdog Millionaire,2008,120,"Crime, Drama, Romance","Danny Boyle, Loveleen Tandan",8.0,913955,,,,,
2009,82,The Hurt Locker,tt0887912,The Hurt Locker,2008,131,"Drama, Thriller, War",Kathryn Bigelow,7.5,498934,,,,,
2010,83,The King's Speech,tt1504320,The King's Speech,2010,118,"Biography, Drama, History",Tom Hooper,8.0,735809,,,,,
2011,84,The Artist,tt1655442,The Artist,2011,100,"Comedy, Drama, Romance",Michel Hazanavicius,7.8,256156,,,,,
2012,85,Argo,tt1024648,Argo,2012,120,"Biography, Drama, History",Ben Affleck,7.7,671355,,,,,
2013,86,12 Years a Slave,tt2024544,12 Years a Slave,2013,134,"Biography, Drama, History",Steve McQueen,8.1,792677,,,,,
2014,87,Birdman or (The Unexpected Virtue of Ignorance),tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy, Drama",Alejandro G. Iñárritu,7.7,702069,,,,,
2015,88,Spotlight,tt1895587,Spotlight,2015,129,"Biography, Crime, Drama",Tom McCarthy,8.1,539307,,,,,
2016,89,Moonlight,tt4975722,Moonlight,2016,111,Drama,Barry Jenkins,7.4,354981,,,,,
2017,90,The Shape of Water,tt5580390,The Shape of Water,2017,123,"Drama, Fantasy, Romance",Guillermo del Toro,7.3,479177,,,,,
2018,91,Green Book,tt6966692,Green Book,2018,130,"Biography, Comedy, Drama",Peter Farrelly,8.2,699338,,,,,
2019,92,Parasite,tt6751668,Gisaengchung,2019,132,"Drama, Thriller",Bong Joon Ho,8.5,1187664,,,,,
2020,93,Nomadland,tt9770150,Nomadland,2020,107,Drama,Chloé Zhao,7.3,221290,,,,,
2021,94,CODA,tt10366460,CODA,2021,111,"Comedy, Drama, Music",Sian Heder,8.0,231479,,,,,
2022,95,Everything Everywhere All at Once,tt6710474,Everything Everywhere All at Once,2022,139,"Action, Adventure, Comedy","Daniel Kwan, Daniel Scheinert",7.7,658529,,,,,
2023,96,Oppenheimer,tt15398776,Oppenheimer,2023,180,"Biography, Drama, History",Christopher Nolan,8.2,1086174,,,,,
2024,97,Anora,tt28607951,Anora,2024,139,"Comedy, Drama, Romance",Sean Baker,7.4,303085,,,,,
2025,98,One Battle after Another,tt30144839,One Battle After Another,2025,161,"Crime, Thriller",Paul Thomas Anderson,7.6,438039,,,,,
